id,policy,seed,success,steps,coverage,density,unique_visited,targets_found,efficiency,turns,collisions,revisits,max_cell_visits,avg_visits_per_cell,avg_info_gain,turn_rate,collision_rate,max_steps_without_new_info
7fbe5812-3981-4c61-87d2-5d8d921f2aa1,frontier,95203,True,154,7.06,79.9,145,1,0.942,37,0,0,0,0,0,0,0,0
926ce8a5-6be2-4e0b-85c8-6be8a25b0ff5,globalutilityfrontierexploration,20621,True,135,5.68,78.17,133,1,0.985,28,0,0,0,0,0,0,0,0
86d2b30e-10aa-438c-b446-f04213a87a38,frontier,20621,True,583,20.19,78.17,528,1,0.906,131,0,0,0,0,0,0,0,0
adc8b623-d7ff-434a-8a34-6faca8e1ce91,globalutilityfrontierexploration,18093,True,0,0.45,77.57,1,1,0,0,0,0,0,0,0,0,0,0
73eab079-8f8b-49eb-aef7-61250ec53a6c,frontier,18093,True,0,0.45,77.57,1,1,0,0,0,0,0,0,0,0,0,0
0bf8f9b4-c88e-4054-aa93-d7c52ae025fa,globalutilityfrontierexploration,14034,True,59,2.39,76.79,51,1,0.864,14,0,0,0,0,0,0,0,0
11055c76-da1f-4bc6-95b2-2f56e849181e,frontier,14034,True,208,9.35,76.79,199,1,0.957,52,0,0,0,0,0,0,0,0
6c9927d7-1e94-43b4-b125-d7071edeb3a0,globalutilityfrontierexploration,43188,True,538,21.32,77.07,472,1,0.877,123,0,0,0,0,0,0,0,0
75c0724d-627e-431b-84f2-d6fb5c298e91,frontier,43188,True,933,35.05,77.07,862,1,0.924,214,0,0,0,0,0,0,0,0
35e1fada-c599-4371-bc75-e9f202206414,globalutilityfrontierexploration,4163,False,1000,30.95,76.95,822,0,0.822,256,0,0,0,0,0,0,0,0
561cd3a9-c5e1-4580-a480-675efae1917d,frontier,4163,True,126,5.4,76.95,117,1,0.929,39,0,0,0,0,0,0,0,0
3ecc1955-b451-4f13-ac2b-bb7d9dc724e3,globalutilityfrontierexploration,53342,True,676,23.54,78.61,585,1,0.865,150,0,0,0,0,0,0,0,0
1434d3fd-b008-4816-8442-c852542a8db9,frontier,53342,True,383,14.58,78.61,336,1,0.877,79,0,0,0,0,0,0,0,0
4f2d62b1-54d1-4163-8665-d90e21750af8,globalutilityfrontierexploration,31054,True,23,1.69,79.06,24,1,1.043,10,0,0,0,0,0,0,0,0
bc141509-605b-4a7a-ad08-987d15528448,frontier,31054,True,534,16.32,79.06,447,1,0.837,137,0,0,0,0,0,0,0,0
216bbc7b-d09c-42f9-aa2a-7bacc217c8c3,globalutilityfrontierexploration,2187,True,67,3.28,76.81,63,1,0.94,22,0,0,0,0,0,0,0,0
bc77f499-1793-470d-9d94-688d7132dca3,frontier,2187,True,531,19.07,76.81,474,1,0.893,112,0,0,0,0,0,0,0,0
b0e229fe-88bc-41c1-a849-d5899f7a996a,globalutilityfrontierexploration,7972,True,173,7.25,77.31,157,1,0.908,33,0,0,0,0,0,0,0,0
8dab563a-1b90-4f85-be77-98b97c532723,frontier,7972,True,169,7.34,77.31,163,1,0.964,29,0,0,0,0,0,0,0,0
178ea0ed-f5bb-48db-a962-caa505bb7b93,globalutilityfrontierexploration,43312,True,154,6.42,78.48,147,1,0.955,40,0,0,0,0,0,0,0,0
8df7f9a3-294e-44e8-b86e-ffb6292c645b,frontier,43312,True,296,10.88,78.48,256,1,0.865,78,0,0,0,0,0,0,0,0
80339ee9-1a0a-4685-9daa-f5c7d9f4f2fa,globalutilityfrontierexploration,63730,True,707,21.23,78.38,559,1,0.791,164,0,0,0,0,0,0,0,0
d0613972-3e7d-4d09-b59b-2f2729857ecc,frontier,63730,True,638,21.08,78.38,542,1,0.85,142,0,0,0,0,0,0,0,0
21533acb-09f3-46d1-a7ca-335dd682794f,globalutilityfrontierexploration,54891,True,120,5.85,78.84,116,1,0.967,35,0,0,0,0,0,0,0,0
7d32f0d5-053b-4973-a8ea-47b23bafaf4b,frontier,54891,True,196,9.89,78.84,196,1,1.0,39,0,0,0,0,0,0,0,0
c788fe1a-91e2-4dac-9f58-5dc00d7febc6,globalutilityfrontierexploration,96673,True,563,23.21,78.14,514,1,0.913,154,0,0,0,0,0,0,0,0
